coalition,value,iteration
"(9, 1, 0, 8, 2, 4, 5, 6, 3, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.8319,10
"(7, 1, 0, 8, 2, 4, 5, 6, 3, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.8099,10
"(7, 9, 0, 8, 2, 4, 5, 6, 3, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.7322,10
"(7, 9, 1, 8, 2, 4, 5, 6, 3, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.7732,10
"(7, 9, 1, 0, 2, 4, 5, 6, 3, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.8247,10
"(7, 9, 1, 0, 8, 4, 5, 6, 3, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.7692,10
"(7, 9, 1, 0, 8, 2, 5, 6, 3, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.8197,10
"(7, 9, 1, 0, 8, 2, 4, 6, 3, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.8102,10
"(7, 9, 1, 0, 8, 2, 4, 5, 3, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.8265,10
"(7, 9, 1, 0, 8, 2, 4, 5, 6, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.8437,10
"(5, 0, 8, 7, 3, 4, 1, 6, 2, 9)",0.8162,11
"(0, 8, 7, 3, 4, 1, 6, 2, 9, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.8098,11
"(5, 8, 7, 3, 4, 1, 6, 2, 9, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.7692,11
"(5, 0, 7, 3, 4, 1, 6, 2, 9, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.8323,11
"(5, 0, 8, 3, 4, 1, 6, 2, 9, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.8218,11
"(5, 0, 8, 7, 4, 1, 6, 2, 9, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.8452,11
"(5, 0, 8, 7, 3, 1, 6, 2, 9, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.8244,11
"(5, 0, 8, 7, 3, 4, 6, 2, 9, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.7694,11
"(5, 0, 8, 7, 3, 4, 1, 2, 9, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.8296,11
"(5, 0, 8, 7, 3, 4, 1, 6, 9, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.7562,11
"(5, 0, 8, 7, 3, 4, 1, 6, 2, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.8196,11
"(8, 5, 0, 6, 2, 1, 9, 4, 7, 3)",0.8197,12
"(5, 0, 6, 2, 1, 9, 4, 7, 3, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.8331,12
"(8, 0, 6, 2, 1, 9, 4, 7, 3, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.8214,12
"(8, 5, 6, 2, 1, 9, 4, 7, 3, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.7656,12
"(8, 5, 0, 2, 1, 9, 4, 7, 3, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.8359,12
"(8, 5, 0, 6, 1, 9, 4, 7, 3, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.7802,12
"(8, 5, 0, 6, 2, 9, 4, 7, 3, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.7547,12
"(8, 5, 0, 6, 2, 1, 4, 7, 3, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.827,12
"(8, 5, 0, 6, 2, 1, 9, 7, 3, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.8079,12
"(8, 5, 0, 6, 2, 1, 9, 4, 3, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.8359,12
"(8, 5, 0, 6, 2, 1, 9, 4, 7, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.8408,12
